country_code,reference_year,total_current_expenditure(PPP),total_current_revenues(PPP),total_academic_staff(FTE),total_staff_(FTE),total_students_enrolled_ISCED_5-7,total_graduates_ISCED_5-7,total_students_enrolled_at_ISCED_8,total_graduates_at_ISCED_8,erasmus_total_incoming_students,erasmus_total_outgoing_students,total_core_budget(PPP),student_fees_funding(PPP),total_third_party_funding(PPP),share_of_women_academic_staff,share_of_women_students_ISCED_5-7,PhD_intensity,share_of_foreigners_students_ISCED_5-7
IS,2012,0.0,0.0,0.0,0.0,2640.285714285714,0.0,67.42857142857143,0.0,70.42857142857143,36.42857142857143,0.0,0.0,0.0,0.0,0.24396109589999998,0.0,0.0
IS,2013,0.0,0.0,0.0,0.0,2640.285714285714,0.0,67.42857142857143,0.0,72.28571428571429,33.857142857142854,0.0,0.0,0.0,0.0,0.24396109589999998,0.0,0.0
IS,2014,0.0,0.0,0.0,0.0,2636.4285714285716,0.0,74.28571428571429,11.714285714285714,84.42857142857143,58.285714285714285,0.0,0.0,0.0,0.0,0.42934651317142863,0.0,0.0
IS,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.57142857142857,59.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IS,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,64.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,2011,74188052.47478412,84438532.2393807,0.0,0.0,10233.15340909091,1880.8068181818182,196.26136363636363,64.0,98.24431818181819,131.3465909090909,60379358.99033919,13309015.38620795,10034007.13894165,0.33866154412556826,0.4751317408590909,0.015632533047857958,0.04691523990811535
IT,2012,73507192.61732957,83686047.47471593,0.0,0.0,10121.5625,1988.0227272727273,199.16477272727272,65.9659090909091,95.02272727272727,142.5284090909091,59680113.8831818,13645142.245602839,9784071.083195714,0.33116159215909113,0.5088114206198862,0.019594358649187505,0.06404678898455682
IT,2013,72362369.8629943,80747952.54409657,0.0,0.0,10245.0,1986.0227272727273,193.85795454545453,61.02840909090909,98.19318181818181,148.54545454545453,56196914.031500526,13651668.468549429,9981319.94163504,0.33706487403011354,0.506945344132955,0.03149526824127841,0.07875763362038635
IT,2014,58981218.31538606,65333302.08634885,0.0,0.0,8300.781395348837,1682.0883720930233,152.4418604651163,49.93953488372093,93.6046511627907,152.0186046511628,45278654.967764795,11580929.115905585,7451091.919224894,0.30905635574790696,0.5124494567358139,0.014508964413446514,0.07083283209048696
IT,2015,58148507.59699068,65590199.112623245,0.0,0.0,8085.460465116279,1660.706976744186,137.66511627906976,48.74418604651163,109.83720930232558,169.22790697674418,45558329.23218656,12033150.390148371,6613121.987135847,0.30290479396232556,0.5012403790962789,0.015677223129097678,0.08139886476033023
IT,2016,0.0,0.0,0.0,0.0,8324.00925925926,1639.6990740740741,128.15277777777777,45.96296296296296,117.12962962962963,173.04166666666666,0.0,0.0,0.0,0.3114100895046296,0.5162954464305558,0.014194304693097218,0.0899247023529491
LI,2011,12311040.11,12726371.31,64.4,122.2,854.0,205.0,20.0,0.0,43.0,38.0,8373554.14,488149.1165,2410370.325,0.2956521739,0.3524590164,0.0,0.8864168618
LI,2012,13040837.31,13279385.17,62.6,128.1,762.0,299.0,20.0,0.0,39.0,26.0,9072008.421,469275.2115,2566204.024,0.3063063063,0.3241469816,0.0,0.8937007874
LI,2013,12403854.2,12721255.97,56.4,123.7,711.0,254.0,21.0,4.0,37.0,30.0,8831579.521,458505.0813,2440540.79,0.3367346939,0.323488045,0.0157480315,0.905766526
LI,2014,12744772.26,13070897.77,69.9,123.9,636.0,270.0,20.0,7.0,40.0,50.0,9074314.15,471107.0242,2507618.685,0.3445378151,0.3254716981,0.02592592593,0.9088050314
LI,2015,14415100.39,14868621.71,67.4,122.5,632.0,191.0,26.0,7.0,60.0,49.0,9604327.537,523212.2889,3654216.789,0.375,0.3686708861,0.03664921466,0.917721519
LI,2016,12519247.56,13138725.45,64.4,119.5,619.0,233.0,35.0,5.0,39.0,47.0,9286735.782,550653.5557,2327225.501,0.4159292035,0.408723748,0.02145922747,0.9095315024
LT,2011,15721855.39513954,18991391.668193016,217.72093023255815,447.51162790697674,3874.0697674418607,972.7674418604652,61.13953488372093,7.232558139534884,36.25581395348837,81.37209302325581,8179793.060383719,4133232.5423,6678366.0660906285,0.5011396294046512,0.480405506694186,0.003834698900813954,0.036438631907534894
LT,2012,15940349.387348838,19946481.427497674,243.72093023255815,507.30232558139534,3541.139534883721,937.6046511627907,57.116279069767444,8.674418604651162,45.46511627906977,80.95348837209302,9249047.373874418,4026616.0378697673,6670818.014575186,0.5214986770069767,0.48101252805372086,0.0035744189725581393,0.04108723585181395
LT,2013,15631018.269879544,18931462.426495448,230.45454545454547,482.6818181818182,3248.4772727272725,860.4090909090909,55.09090909090909,9.590909090909092,49.88636363636363,76.6590909090909,8885914.012838406,3661560.2198022725,6383988.193174773,0.5164589547636365,0.4703030547859091,0.004101119332022728,0.020050900996045454
LT,2014,16070916.521439534,17695745.318637207,222.06976744186048,467.74418604651163,3129.3488372093025,741.6046511627907,54.95348837209303,8.627906976744185,69.51162790697674,106.53488372093024,6935830.56188558,3795175.169686046,6964739.585457676,0.5379688282279069,0.5102634535923257,0.004023956062441861,0.022660827333651164
LT,2015,15873399.743327906,19760979.17667209,160.29232558139532,343.9970930232559,2802.0232558139537,685.5348837209302,56.674418604651166,8.883720930232558,81.5813953488372,126.20930232558139,7119764.360091162,3638667.444732558,9002547.370906044,0.43766087108139523,0.3990438969427907,0.005036235481744186,0.026323054594511633
LT,2016,14215338.299002325,15103034.205351159,156.93023255813952,327.8837209302326,2661.0232558139537,629.6279069767442,56.25581395348837,6.488372093023256,84.51162790697674,125.37209302325581,7041933.1344986055,3581779.92568372,4479321.1455360465,0.4332305324232557,0.43062720332325577,0.004211907407441861,0.030597222863465116
LU,2011,104939228.1,111403180.1,741.98,1048.5,4320.0,803.0,390.0,57.0,82.0,427.0,0.0,4426200.572,15949493.9,0.219160105,0.5270833333,0.07098381071,0.4708333333
LU,2012,0.0,0.0,0.0,0.0,4574.0,0.0,459.0,0.0,93.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,2013,141401259.6,143716160.7,0.0,0.0,4492.0,968.0,545.0,82.0,110.0,434.0,112612412.2,5702104.669,25123485.15,0.0,0.0,0.0847107438,0.0
LU,2014,140255967.2,146522717.9,1089.05,1446.45,4514.0,1015.0,569.0,106.0,120.0,471.0,105783540.9,6119628.16,33810500.84,0.0,0.0,0.1044334975,0.0
LU,2015,78946329.75,84797244.25,567.375,770.375,2225.5,0.0,301.5,0.0,89.0,247.0,64189323.6,3326591.7435,17181357.68,0.0,0.0,0.0,0.0
LU,2016,77806823.65,91586390.6,588.25,831.09,2267.0,520.0,301.5,0.0,85.5,237.5,67258825.45,3557843.304,20727598.455,0.0,0.0,0.0,0.0
LV,2011,0.0,0.0,0.0,0.0,1880.6530612244899,489.0408163265306,51.48979591836735,5.959183673469388,14.83673469387755,44.04081632653061,0.0,0.0,0.0,0.43923765294081635,0.541593668637143,0.003769111348163266,0.0
LV,2012,0.0,0.0,0.0,0.0,1826.2857142857142,420.7142857142857,51.3469387755102,5.387755102040816,18.714285714285715,43.04081632653061,0.0,0.0,0.0,0.43443296235102036,0.5276098543018365,0.0029271593729795916,0.0
LV,2013,0.0,0.0,0.0,0.0,1821.8478260869565,447.6521739130435,52.19565217391305,6.6521739130434785,22.26086956521739,46.630434782608695,0.0,0.0,0.0,0.4915943717173913,0.5484058011045653,0.003531905065391304,0.0
LV,2014,6742793.303555555,7148077.586048889,0.0,0.0,1796.9333333333334,367.4222222222222,48.77777777777778,5.555555555555555,38.55555555555556,52.75555555555555,4360832.497562223,1440416.090907911,1157755.1015195113,0.5041552317,0.5444379815993332,0.0038266779972222224,0.0
LV,2015,7590482.655122724,7820555.774545454,0.0,0.0,1805.75,364.5681818181818,52.5,5.568181818181818,46.97727272727273,54.59090909090909,4783903.941293183,1609591.0717125,1010360.838262841,0.5023660487227273,0.5535938533068182,0.004968012891068182,0.0
LV,2016,6968114.043654546,7116954.381961363,0.0,0.0,1777.5454545454545,343.0,52.02272727272727,4.159090909090909,51.88636363636363,57.04545454545455,4793781.438836365,1619391.032132954,526693.1960749998,0.4987504342727273,0.5423570153631818,0.0035916920614772726,0.0
ME,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MK,2011,0.0,0.0,0.0,0.0,5806.4,1002.9,45.6,19.7,0.0,0.0,0.0,0.0,0.0,0.27474414667900005,0.41557283437,0.0054633857531,0.043227841337499996
MK,2012,0.0,0.0,0.0,0.0,5646.1,1102.6,22.6,14.6,0.0,0.0,0.0,0.0,0.0,0.29935914037,0.4281619009399999,0.0034222530068200004,0.0242077636845
MK,2013,0.0,0.0,0.0,0.0,5645.6,1026.4,13.1,21.9,0.0,6.9,0.0,0.0,0.0,0.30354142009,0.41386698792,0.006072338168,0.0639426915338
MK,2014,0.0,0.0,0.0,0.0,4223.0,803.0,29.53846153846154,15.692307692307692,5.076923076923077,13.692307692307692,0.0,0.0,0.0,0.2266938809923077,0.21375170805384616,0.004461436404307692,0.05842478012676923
